trajectory,system,waypoint,waypoint_count,trajectory_angle_deg,distance_along_m,rx_config_name,snr_db_log_rounded,capacity_bits_s_hz_log_rounded,trajectory_angle_deg_exact,distance_along_m_exact,tx_center_x_m,tx_center_y_m,tx_center_z_m
Half-Circular,Without Lens,2,37,,1.57,Simul_0,18.1,6.0,-80.0,1.5707963267948966,1.5628335990023738,-8.863269777109872,2.0
Half-Circular,Without Lens,2,37,,1.57,Simul_-1,18.1,6.0,-80.0,1.5707963267948966,1.5628335990023738,-8.863269777109872,2.0
Half-Circular,Without Lens,2,37,,1.57,Simul_-2,17.8,5.93,-80.0,1.5707963267948966,1.5628335990023738,-8.863269777109872,2.0
Half-Circular,Without Lens,2,37,,1.57,Simul_-3,17.7,5.89,-80.0,1.5707963267948966,1.5628335990023738,-8.863269777109872,2.0
Half-Circular,Without Lens,2,37,,1.57,Simul_-4,17.9,5.93,-80.0,1.5707963267948966,1.5628335990023738,-8.863269777109872,2.0
Half-Circular,Without Lens,3,37,,2.36,Simul_+4,18.0,5.97,-75.0,2.356194490192345,2.3293714059226867,-8.693332436601615,2.0
Half-Circular,Without Lens,3,37,,2.36,Simul_+3,17.9,5.94,-75.0,2.356194490192345,2.3293714059226867,-8.693332436601615,2.0
Half-Circular,Without Lens,3,37,,2.36,Simul_+2,17.9,5.94,-75.0,2.356194490192345,2.3293714059226867,-8.693332436601615,2.0
Half-Circular,Without Lens,3,37,,2.36,Simul_+1,17.9,5.94,-75.0,2.356194490192345,2.3293714059226867,-8.693332436601615,2.0
Half-Circular,Without Lens,3,37,,2.36,Simul_0,17.9,5.93,-75.0,2.356194490192345,2.3293714059226867,-8.693332436601615,2.0
Half-Circular,Without Lens,3,37,,2.36,Simul_-1,17.9,5.95,-75.0,2.356194490192345,2.3293714059226867,-8.693332436601615,2.0
Half-Circular,Without Lens,3,37,,2.36,Simul_-2,18.0,5.97,-75.0,2.356194490192345,2.3293714059226867,-8.693332436601615,2.0
Half-Circular,Without Lens,3,37,,2.36,Simul_-3,18.0,5.96,-75.0,2.356194490192345,2.3293714059226867,-8.693332436601615,2.0
Half-Circular,Without Lens,3,37,,2.36,Simul_-4,17.9,5.94,-75.0,2.356194490192345,2.3293714059226867,-8.693332436601615,2.0
