scenario,lens_angle_deg,vertical_angle_deg,theta_deg,phi_deg,gain_db
Simul_+0deg,0,122.03999329,122.03999329,0.00000000,-6.46412659
Simul_+0deg,0,122.39998627,122.39998627,0.00000000,-6.58789206
Simul_+0deg,0,122.75999451,122.75999451,0.00000000,-6.68243408
Simul_+0deg,0,123.12000275,123.12000275,0.00000000,-6.74572754
Simul_+0deg,0,123.47998810,123.47998810,0.00000000,-6.77637482
Simul_+0deg,0,123.83999634,123.83999634,0.00000000,-6.77367878
Simul_+0deg,0,124.19998932,124.19998932,0.00000000,-6.90499258
Simul_+0deg,0,124.55999756,124.55999756,0.00000000,-7.14903116
Simul_+0deg,0,124.91998291,124.91998291,0.00000000,-7.37193680
Simul_+0deg,0,125.27999115,125.27999115,0.00000000,-7.56958437
Simul_+0deg,0,125.63999939,125.63999939,0.00000000,-7.73783445
Simul_+0deg,0,125.99999237,125.99999237,0.00000000,-7.87281895
Simul_+0deg,0,126.35999298,126.35999298,0.00000000,-8.25422859
Simul_+0deg,0,126.71998596,126.71998596,0.00000000,-8.61612892
Simul_+0deg,0,127.07999420,127.07999420,0.00000000,-8.95017719
Simul_+0deg,0,127.43999481,127.43999481,0.00000000,-9.24695301
Simul_+0deg,0,127.79998779,127.79998779,0.00000000,-9.49649048
Simul_+0deg,0,128.15998840,128.15998840,0.00000000,-9.77900410
Simul_+0deg,0,128.51998901,128.51998901,0.00000000,-10.12174988
Simul_+0deg,0,128.87998962,128.87998962,0.00000000,-10.40411568
Simul_+0deg,0,129.24000549,129.24000549,0.00000000,-10.61189461
Simul_+0deg,0,129.59999084,129.59999084,0.00000000,-10.73318291
Simul_+0deg,0,129.95999146,129.95999146,0.00000000,-10.76040840
Simul_+0deg,0,130.31999207,130.31999207,0.00000000,-10.82698727
Simul_+0deg,0,130.67999268,130.67999268,0.00000000,-10.84249306
Simul_+0deg,0,131.03999329,131.03999329,0.00000000,-10.79103088
Simul_+0deg,0,131.39999390,131.39999390,0.00000000,-10.67492676
Simul_+0deg,0,131.75999451,131.75999451,0.00000000,-10.49921036
